CustomerID,Days_Since_Last_Purchase,Total_Transactions,Total_Products_Purchased,Total_Spend,Average_Transaction_Value,Unique_Products_Purchased,Average_Days_Between_Purchases,Day_Of_Week,Hour,Is_UK,Cancellation_Frequency,Cancellation_Rate,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend
12346,325,2,0,0,0,1,0,1,10,1,1,0.5,0,0,0
12347,2,7,2458,4310,615.7142857,103,2.016574586,1,14,0,0,0,615.7142857,341.0707895,4.486071429
12348,75,4,2332,1437.24,359.31,21,10.88461538,3,19,0,0,0,359.31,203.8756886,-100.884
12349,18,1,630,1457.55,1457.55,72,0,0,9,0,0,0,1457.55,0,0
12350,310,1,196,294.4,294.4,16,0,2,16,0,0,0,294.4,0,0
12352,36,8,463,1265.41,158.17625,57,3.13253012,1,14,0,1,0.125,316.3525,134.7006289,9.351
12353,204,1,20,89,89,4,0,3,17,0,0,0,89,0,0
12354,232,1,530,1079.4,1079.4,58,0,3,13,0,0,0,1079.4,0,0
12355,214,1,240,459.4,459.4,13,0,0,13,0,0,0,459.4,0,0
12358,1,2,242,928.06,464.03,12,9.3125,1,10,0,0,0,464.03,83.67901649,118.34
12360,52,3,1156,2302.06,767.3533333,104,1.184,1,15,0,0,0,767.3533333,270.7657477,0.1
12361,287,1,90,174.9,174.9,9,0,4,13,0,0,0,174.9,0,0
12362,3,13,2180,4665.58,358.8907692,200,1.11026616,3,15,0,3,0.230769231,583.1975,393.9922848,46.82404762
12363,109,2,408,552,276,23,6.045454545,0,13,0,0,0,276,32.66833329,-46.2
12364,7,4,1499,1208.1,302.025,69,1.3125,4,15,0,0,0,302.025,211.4065514,-64.654
12365,291,1,173,320.69,320.69,21,0,0,13,0,0,0,320.69,0,0
12367,4,1,172,150.9,150.9,10,0,0,16,0,0,0,150.9,0,0
12371,59,1,582,1527.96,1527.96,62,0,1,10,0,0,0,1527.96,0,0
12372,71,3,788,1196.04,398.68,33,4.6875,2,12,0,0,0,398.68,70.34687484,-5.05
12373,311,1,196,324.6,324.6,13,0,1,13,0,0,0,324.6,0,0
12374,25,1,339,622.93,622.93,32,0,0,15,0,0,0,622.93,0,0
12375,2,3,175,375.42,125.14,13,6.4,4,14,0,1,0.333333333,125.14,110.1866544,-96.19
12379,81,3,401,775.29,258.43,38,2.342105263,0,10,0,1,0.333333333,258.43,227.0149702,-26.22
12380,21,5,1109,2423.56,484.712,76,1.64,4,11,0,1,0.2,605.89,210.4794672,82.212
12381,4,4,772,1433.46,358.365,69,1.352941176,4,9,0,1,0.25,477.82,456.2981364,-440.19
12383,184,6,1515,1617.31,269.5516667,83,1.787234043,2,14,0,1,0.166666667,323.462,236.7698631,-142.529
